INSTANCE,DEF,MAXP,MAXPW,MINW,CCA,KNN,LOGREG,MLPC,RF,SVM
GA-DEF_EASY_100_057.kp,709,629,643,430,629,709,709,709,645,709
GA-DEF_EASY_100_058.kp,1074,808,996,996,996,1074,1074,1074,1074,1074
GA-DEF_EASY_100_059.kp,814,557,744,638,557,557,783,557,557,557
GA-DEF_EASY_100_060.kp,799,542,720,607,607,799,799,799,799,799
GA-DEF_EASY_100_061.kp,793,128,724,724,724,793,793,793,793,793
GA-DEF_EASY_100_062.kp,987,603,926,926,849,534,987,603,534,603
GA-DEF_EASY_100_063.kp,694,508,621,514,508,508,694,508,508,508
GA-DEF_EASY_100_064.kp,803,553,716,716,716,660,803,726,726,754
GA-DEF_EASY_100_065.kp,798,542,728,728,542,587,798,798,798,798
GA-DEF_EASY_100_066.kp,558,314,492,400,314,463,558,558,314,558
GA-DEF_EASY_100_067.kp,891,445,810,741,741,891,891,891,891,891
GA-DEF_EASY_100_068.kp,696,480,608,608,608,480,606,514,480,480
GA-DEF_EASY_100_069.kp,749,450,667,653,653,749,749,749,749,749
GA-DEF_EASY_100_070.kp,694,521,620,412,521,505,694,694,505,694
GA-DEF_EASY_100_071.kp,710,523,638,606,606,523,710,710,710,710
GA-DEF_EASY_100_072.kp,611,246,542,542,246,611,611,552,611,552
GA-DEF_EASY_100_073.kp,715,359,644,472,472,715,715,715,715,715
GA-DEF_EASY_100_074.kp,963,790,890,684,684,870,963,790,540,860
GA-DEF_EASY_100_075.kp,687,535,611,507,507,687,687,687,687,687
GA-DEF_EASY_100_076.kp,666,381,585,472,472,666,666,666,666,666
GA-DEF_EASY_100_077.kp,708,155,634,523,155,708,708,155,155,155
GA-DEF_EASY_100_078.kp,640,497,583,492,492,640,640,640,640,640
GA-DEF_EASY_100_079.kp,803,493,704,697,493,718,803,493,441,441
GA-DEF_EASY_100_080.kp,704,431,641,556,556,608,704,704,704,704
GA-DEF_EASY_100_081.kp,793,357,709,709,709,793,793,737,737,793
GA-DEF_EASY_100_082.kp,547,315,481,391,315,315,547,315,547,315
GA-DEF_EASY_100_083.kp,816,525,732,732,525,524,816,525,524,525
GA-DEF_EASY_100_084.kp,625,348,561,561,348,536,625,625,348,625
GA-DEF_EASY_100_085.kp,906,609,830,830,609,609,906,906,609,906
GA-DEF_EASY_100_086.kp,734,510,660,325,510,510,325,510,510,510
GA-DEF_EASY_100_087.kp,727,558,663,663,663,727,727,727,727,727
GA-DEF_EASY_100_088.kp,834,390,768,580,390,390,747,390,390,390
GA-DEF_EASY_100_089.kp,633,413,566,566,566,633,633,633,633,633
GA-DEF_EASY_100_090.kp,634,250,566,471,250,250,634,529,250,339
GA-DEF_EASY_100_091.kp,960,445,891,768,768,445,888,443,443,443
GA-DEF_EASY_100_092.kp,629,264,544,544,544,629,629,629,544,629
GA-DEF_EASY_100_093.kp,602,405,533,459,405,469,602,602,405,602
GA-DEF_EASY_100_094.kp,763,324,684,684,684,763,763,763,763,763
GA-DEF_EASY_100_095.kp,644,330,576,450,330,330,644,330,330,330
GA-DEF_EASY_100_096.kp,640,452,582,506,452,452,640,452,452,452
GA-DEF_EASY_100_097.kp,770,474,696,694,694,646,770,770,770,646
GA-DEF_EASY_100_098.kp,626,418,547,547,547,626,626,626,626,626
GA-DEF_EASY_100_099.kp,777,581,705,705,726,777,726,777,618,777
GA-MAXPW_EASY_100_000.kp,59,336,1173,410,1173,1173,1173,1173,1173,1173
GA-MAXPW_EASY_100_001.kp,180,382,1142,389,1011,1142,1142,1142,389,1142
GA-MAXPW_EASY_100_002.kp,180,267,1002,264,1002,1002,1002,1002,982,1002
GA-MAXPW_EASY_100_003.kp,182,351,1146,353,1146,1146,1146,1146,1146,1146
GA-MAXPW_EASY_100_004.kp,215,142,1069,357,698,1069,1069,1069,357,1069
GA-MAXPW_EASY_100_005.kp,174,253,1025,278,1025,1025,1025,1025,1025,1025
GA-MAXPW_EASY_100_006.kp,141,254,1060,274,1060,1060,1060,1060,1060,1060
GA-MAXPW_EASY_100_007.kp,332,281,1170,420,1170,1170,1170,1170,1170,1170
GA-MAXPW_EASY_100_008.kp,116,303,1066,310,1016,1066,1066,1066,924,1066
GA-MAXPW_EASY_100_009.kp,126,128,894,169,894,894,894,894,894,894
GA-MAXPW_EASY_100_010.kp,206,380,1295,522,825,1295,1295,1096,1096,1295
GA-MAXPW_EASY_100_011.kp,164,349,1082,329,664,329,1082,1061,329,329
GA-MAXPW_EASY_100_012.kp,307,256,1014,298,544,808,1014,1011,544,1014
GA-MAXPW_EASY_100_013.kp,290,128,1375,662,1375,1375,1375,1375,1347,1375
GA-MAXPW_EASY_100_014.kp,190,212,1110,343,343,1110,1110,1110,1091,1110
GA-MAXPW_EASY_100_015.kp,262,253,1155,353,1155,1155,1155,1155,1155,1155
GA-MAXPW_EASY_100_016.kp,257,498,1352,629,1352,1352,1352,1352,1352,1352
