"INSTANCE","WEIGHT","PROFIT","CORRELATION","DEF","MAXP","MAXPW","MINW","MARK","BEST","ORACLE"
"GA-MaxProfitPerWeight_50_014.kp",0.386,0.531,0.574,703,741,1670,928,612,"MAXPW",1670
"GA-MaxProfitPerWeight_50_015.kp",0.507,0.499,0.496,334,738,1382,778,474,"MAXPW",1382
"GA-MaxProfitPerWeight_50_016.kp",0.479,0.491,0.601,569,741,1342,762,NA,"MAXPW",1342
"GA-MaxProfitPerWeight_50_017.kp",0.401,0.507,0.619,NA,848,1440,846,471,"MAXPW",1440
"GA-MaxProfitPerWeight_50_018.kp",0.422,0.558,0.605,NA,731,1373,817,436,"MAXPW",1373
"GA-MaxProfitPerWeight_50_019.kp",0.41,0.568,0.629,NA,857,1575,949,623,"MAXPW",1575
"GA-MaxProfitPerWeight_50_020.kp",0.366,0.495,0.545,338,854,1583,879,446,"MAXPW",1583
"GA-MaxProfitPerWeight_50_021.kp",0.414,0.559,0.582,NA,962,1616,991,461,"MAXPW",1616
"GA-MaxProfitPerWeight_50_022.kp",0.421,0.59,0.553,NA,1053,1658,1045,589,"MAXPW",1658
"GA-MaxProfitPerWeight_50_023.kp",0.445,0.504,0.638,347,NA,1370,751,574,"MAXPW",1370
"GA-MaxProfitPerWeight_50_024.kp",0.425,0.496,0.539,658,NA,1400,745,583,"MAXPW",1400
"GA-MaxProfitPerWeight_50_025.kp",0.491,0.507,0.465,187,706,1294,760,498,"MAXPW",1294
"GA-MaxProfitPerWeight_50_026.kp",0.48,0.529,0.492,456,738,1276,744,NA,"MAXPW",1276
"GA-MaxProfitPerWeight_50_027.kp",0.48,0.51,0.559,364,631,1307,NA,481,"MAXPW",1307
"GA-MaxProfitPerWeight_50_028.kp",0.486,0.526,0.694,475,506,NA,581,551,"MINW",581
"GA-MaxProfitPerWeight_50_029.kp",0.444,0.468,0.613,458,NA,1335,743,485,"MAXPW",1335
"GA-MaxProfitPerWeight_50_030.kp",0.446,0.524,0.517,270,875,1606,NA,496,"MAXPW",1606
"GA-MaxProfitPerWeight_50_031.kp",0.47,0.567,0.692,635,626,1278,554,501,"MAXPW",1278
"GA-MaxProfitPerWeight_50_032.kp",0.45,0.521,0.435,322,971,1630,986,473,"MAXPW",1630
"GA-MaxProfitPerWeight_50_033.kp",0.549,0.569,0.552,337,614,1228,670,492,"MAXPW",1228
"GA-MaxProfitPerWeight_50_034.kp",0.512,0.553,0.513,299,701,1259,721,557,"MAXPW",1259
"GA-MaxProfitPerWeight_50_035.kp",0.421,0.524,0.688,443,590,1255,566,497,"MAXPW",1255
"GA-MaxProfitPerWeight_50_036.kp",0.507,0.548,0.557,424,711,1338,707,465,"MAXPW",1338
"GA-MaxProfitPerWeight_50_037.kp",0.497,0.517,0.6,389,611,1284,NA,481,"MAXPW",1284
"GA-MaxProfitPerWeight_50_038.kp",0.454,0.542,0.634,546,613,NA,618,460,"MINW",618
"GA-MaxProfitPerWeight_50_039.kp",0.497,0.525,0.533,386,736,1420,859,466,"MAXPW",1420
"GA-MaxProfitPerWeight_50_040.kp",0.474,0.501,0.571,537,621,1218,639,451,"MAXPW",1218
"GA-MaxProfitPerWeight_50_041.kp",0.466,0.541,0.561,412,624,NA,656,545,"MINW",656
"GA-MaxProfitPerWeight_50_042.kp",0.4,0.559,0.604,473,862,NA,898,454,"MINW",898
"GA-MaxProfitPerWeight_50_043.kp",0.436,0.501,0.49,622,730,1510,882,583,"MAXPW",1510
"GA-MaxProfitPerWeight_50_044.kp",0.493,0.578,0.648,430,838,1425,NA,476,"MAXPW",1425
"GA-MaxProfitPerWeight_50_045.kp",0.44,0.517,0.61,617,844,1441,916,NA,"MAXPW",1441
"GA-MaxProfitPerWeight_50_046.kp",0.505,0.56,0.535,182,854,1394,845,464,"MAXPW",1394
"GA-MaxProfitPerWeight_50_047.kp",0.476,0.561,0.665,NA,583,1236,679,460,"MAXPW",1236
"GA-MaxProfitPerWeight_50_048.kp",0.448,0.584,0.699,NA,657,1254,620,469,"MAXPW",1254
"GA-MaxProfitPerWeight_50_049.kp",0.474,0.542,0.649,609,627,1244,708,556,"MAXPW",1244
"GA-MaxProfitPerWeight_50_050.kp",0.416,0.506,0.611,420,838,1457,836,581,"MAXPW",1457
"GA-MaxProfitPerWeight_50_051.kp",0.468,0.499,0.546,288,518,1301,587,492,"MAXPW",1301
"GA-MaxProfitPerWeight_50_052.kp",0.451,0.558,0.599,NA,726,1415,751,445,"MAXPW",1415
"GA-MaxProfitPerWeight_50_053.kp",0.492,0.511,0.575,617,845,1446,870,480,"MAXPW",1446
"GA-MaxProfitPerWeight_50_054.kp",0.517,0.527,0.594,399,501,1295,684,NA,"MAXPW",1295
"GA-MaxProfitPerWeight_50_055.kp",0.451,0.56,0.624,536,NA,1369,719,486,"MAXPW",1369
"GA-MaxProfitPerWeight_50_056.kp",0.48,0.481,0.516,368,712,1234,NA,481,"MAXPW",1234
