INSTANCE,DEF,MAXP,MAXPW,MINW,PBMH,GA
GA-MAXPW_EASY_100_062,288,194,1143,391,1085.0,759.0
GA-MAXPW_EASY_100_063,305,398,1206,401,1144.0,993.0
GA-MAXPW_EASY_100_064,56,379,1117,371,1080.0,613.0
GA-MAXPW_EASY_100_065,277,255,1022,318,1006.0,699.0
GA-MAXPW_EASY_100_066,49,256,1320,536,1247.0,1089.0
GA-MAXPW_EASY_100_067,111,286,1010,251,958.0,725.0
GA-MAXPW_EASY_100_068,98,343,1132,334,1067.0,874.0
GA-MAXPW_EASY_100_069,243,308,1076,342,1026.0,696.0
GA-MAXPW_EASY_100_070,351,127,1194,459,1095.0,640.0
GA-MAXPW_EASY_100_071,331,312,1085,324,1085.0,848.0
GA-MAXPW_EASY_100_072,343,296,1125,351,1063.0,804.0
GA-MAXPW_EASY_100_073,320,379,1167,331,1107.0,793.0
GA-MAXPW_EASY_100_074,479,358,1211,475,1160.0,1018.0
GA-MAXPW_EASY_100_075,101,128,1002,292,951.0,653.0
GA-MAXPW_EASY_100_076,16,308,1037,307,955.0,858.0
GA-MAXPW_EASY_100_077,229,198,1139,396,1076.0,969.0
GA-MAXPW_EASY_100_078,270,303,1035,308,942.0,549.0
GA-MAXPW_EASY_100_079,240,151,1053,326,990.0,828.0
GA-MAXPW_EASY_100_080,159,269,1022,290,1022.0,661.0
GA-MAXPW_EASY_100_081,232,354,1302,507,1302.0,720.0
GA-MAXPW_EASY_100_082,148,250,1076,326,1076.0,724.0
GA-MAXPW_EASY_100_083,151,402,1128,408,1057.0,843.0
GA-MAXPW_EASY_100_084,147,523,1330,623,1276.0,798.0
GA-MAXPW_EASY_100_085,155,128,1062,337,976.0,553.0
GA-MAXPW_EASY_100_086,113,128,1344,614,1280.0,1101.0
GA-MAXPW_EASY_100_087,384,479,1285,435,1226.0,814.0
GA-MAXPW_EASY_100_088,306,380,1173,450,1173.0,900.0
GA-MAXPW_EASY_100_089,139,199,1043,220,971.0,665.0
GA-MAXPW_EASY_100_090,315,219,1076,355,1021.0,631.0
GA-MAXPW_EASY_100_091,386,721,1476,727,1476.0,1216.0
GA-MAXPW_EASY_100_092,297,382,1255,539,1170.0,928.0
GA-MAXPW_EASY_100_093,235,290,1116,366,1042.0,783.0
GA-MAXPW_EASY_100_094,155,128,1141,388,1141.0,638.0
GA-MAXPW_EASY_100_095,196,256,1333,575,1326.0,972.0
GA-MAXPW_EASY_100_096,288,510,1232,513,1232.0,850.0
GA-MAXPW_EASY_100_097,344,255,1275,462,1192.0,872.0
GA-MAXPW_EASY_100_098,422,348,1243,500,1158.0,1025.0
GA-MAXPW_EASY_100_099,192,289,1108,431,1108.0,610.0
GA-MAXP_EASY_100_000,291,816,734,618,816.0,733.0
GA-MAXP_EASY_100_001,147,1303,1218,1098,1303.0,1200.0
GA-MAXP_EASY_100_002,283,924,853,641,924.0,481.0
GA-MAXP_EASY_100_003,75,793,734,670,793.0,529.0
GA-MAXP_EASY_100_004,560,926,842,839,926.0,727.0
GA-MAXP_EASY_100_005,226,847,785,613,847.0,664.0
GA-MAXP_EASY_100_006,473,919,842,799,919.0,679.0
GA-MAXP_EASY_100_007,157,671,598,269,671.0,384.0
GA-MAXP_EASY_100_008,500,839,763,555,839.0,597.0
GA-MAXP_EASY_100_009,340,855,780,658,855.0,511.0
GA-MAXP_EASY_100_010,303,715,650,567,715.0,482.0
GA-MAXP_EASY_100_011,142,778,709,638,778.0,530.0
GA-MAXP_EASY_100_012,263,778,713,610,778.0,521.0
GA-MAXP_EASY_100_013,246,823,752,631,823.0,530.0
