INSTANCE,DEF,MAXP,MAXPW,MINW,CAHH_W,CAHH_W_P
GA-MINW_EASY_100_009,207,454,1038,1108,1108.0,1038.0
GA-MINW_EASY_100_010,285,590,1441,1511,1079.0,1441.0
GA-MINW_EASY_100_011,330,585,934,996,887.0,934.0
GA-MINW_EASY_100_012,283,380,875,941,827.0,875.0
GA-MINW_EASY_100_013,85,375,1007,1075,925.0,1007.0
GA-MINW_EASY_100_014,71,380,1014,1096,1003.0,1014.0
GA-MINW_EASY_100_015,213,822,1284,1346,1170.0,1284.0
GA-MINW_EASY_100_016,342,536,1013,1088,845.0,1013.0
GA-MINW_EASY_100_017,350,128,1130,1202,886.0,1130.0
GA-MINW_EASY_100_018,378,481,1140,1219,908.0,1140.0
GA-MINW_EASY_100_019,232,518,970,1053,904.0,970.0
GA-MINW_EASY_100_020,127,420,911,985,883.0,911.0
GA-MINW_EASY_100_021,343,345,1250,1316,1073.0,1250.0
GA-MINW_EASY_100_022,399,595,922,981,933.0,922.0
GA-MINW_EASY_100_023,341,203,911,986,903.0,911.0
GA-MINW_EASY_100_024,355,714,1062,1127,1056.0,1062.0
GA-MINW_EASY_100_025,194,720,1162,1221,943.0,1162.0
GA-MINW_EASY_100_026,400,457,957,1022,853.0,957.0
GA-MINW_EASY_100_027,439,366,1209,1281,975.0,1209.0
GA-MINW_EASY_100_028,202,469,974,1046,972.0,974.0
GA-MINW_EASY_100_029,539,767,1019,1086,925.0,1019.0
GA-MINW_EASY_100_030,326,586,975,1040,979.0,975.0
GA-MINW_EASY_100_031,176,611,1240,1307,959.0,1240.0
GA-MINW_EASY_100_032,330,146,876,956,875.0,876.0
GA-MINW_EASY_100_033,771,573,1095,1157,1107.0,1095.0
GA-MINW_EASY_100_034,416,715,1001,1074,994.0,1001.0
GA-MINW_EASY_100_035,559,361,978,1039,884.0,978.0
GA-MINW_EASY_100_036,127,251,901,965,913.0,901.0
GA-MINW_EASY_100_037,499,610,1094,1165,1058.0,1094.0
GA-MINW_EASY_100_038,189,327,737,810,810.0,737.0
GA-MINW_EASY_100_039,420,297,1030,1097,1024.0,1030.0
GA-MINW_EASY_100_040,394,593,1047,1117,1085.0,1047.0
GA-MINW_EASY_100_041,205,421,885,953,903.0,885.0
GA-MINW_EASY_100_042,246,463,998,1076,1016.0,998.0
GA-MINW_EASY_100_043,359,478,1023,1099,1036.0,1023.0
GA-MINW_EASY_100_044,498,676,1011,1073,966.0,1011.0
GA-MINW_EASY_100_045,371,312,810,888,649.0,810.0
GA-MINW_EASY_100_046,269,839,1270,1333,1222.0,1270.0
GA-MINW_EASY_100_047,420,674,949,1013,851.0,949.0
GA-MINW_EASY_100_048,589,472,1276,1335,1242.0,1276.0
GA-MINW_EASY_100_049,155,332,887,957,802.0,887.0
GA-MINW_EASY_100_050,320,213,738,804,685.0,738.0
GA-MINW_EASY_100_051,369,279,1101,1173,922.0,1101.0
GA-MINW_EASY_100_052,483,504,1263,1341,1234.0,1263.0
GA-MINW_EASY_100_053,348,296,903,964,870.0,903.0
GA-MINW_EASY_100_054,241,468,915,969,833.0,915.0
GA-MINW_EASY_100_055,286,979,1003,1072,820.0,1003.0
GA-MINW_EASY_100_056,233,435,878,942,730.0,878.0
GA-MINW_EASY_100_057,235,437,801,877,831.0,801.0
GA-MINW_EASY_100_058,149,490,944,1007,808.0,944.0
GA-MINW_EASY_100_059,792,784,1071,1130,1066.0,1071.0
GA-MINW_EASY_100_060,412,552,1105,1178,1049.0,1105.0
GA-MINW_EASY_100_061,257,378,1162,1237,1017.0,1162.0
GA-MINW_EASY_100_062,167,680,1272,1340,1340.0,1272.0
GA-MINW_EASY_100_063,405,745,1325,1382,1154.0,1325.0
GA-MINW_EASY_100_064,151,392,976,1053,1004.0,976.0
GA-MINW_EASY_100_065,357,550,986,1058,968.0,986.0
GA-MINW_EASY_100_066,263,647,866,930,859.0,866.0
GA-MINW_EASY_100_067,209,478,1011,1075,884.0,1011.0
GA-MINW_EASY_100_068,83,243,626,686,686.0,626.0
GA-MINW_EASY_100_069,628,587,985,1048,898.0,985.0
GA-MINW_EASY_100_070,388,500,1123,1195,1045.0,1123.0
GA-MINW_EASY_100_071,698,793,1207,1283,1110.0,1207.0
GA-MINW_EASY_100_072,371,496,911,977,977.0,911.0
GA-MINW_EASY_100_073,283,599,1157,1220,1033.0,1157.0
GA-MINW_EASY_100_074,401,377,1154,1220,950.0,1154.0
GA-MINW_EASY_100_075,383,695,1024,1103,1025.0,1024.0
GA-MINW_EASY_100_076,216,444,1054,1127,1007.0,1054.0
GA-MINW_EASY_100_077,253,224,977,1047,1007.0,977.0
GA-MINW_EASY_100_078,369,815,1291,1360,1267.0,1291.0
GA-MINW_EASY_100_079,322,463,1327,1386,927.0,1327.0
GA-MINW_EASY_100_080,154,902,922,978,851.0,922.0
GA-MINW_EASY_100_081,176,581,1071,1140,1009.0,1071.0
GA-MINW_EASY_100_082,393,606,1079,1149,1074.0,1079.0
GA-MINW_EASY_100_083,150,663,1135,1212,1160.0,1135.0
GA-MINW_EASY_100_084,279,671,1096,1155,1076.0,1096.0
GA-MINW_EASY_100_085,662,471,1062,1133,1045.0,1062.0
GA-MINW_EASY_100_086,140,241,1037,1111,1093.0,1037.0
GA-MINW_EASY_100_087,303,583,1090,1159,791.0,1090.0
GA-MINW_EASY_100_088,459,869,1210,1271,1032.0,1210.0
GA-MINW_EASY_100_089,316,613,1157,1223,978.0,1157.0
GA-MINW_EASY_100_090,118,698,874,939,839.0,874.0
GA-MINW_EASY_100_091,193,457,1095,1162,995.0,1095.0
GA-MINW_EASY_100_092,228,368,1100,1157,1048.0,1100.0
GA-MINW_EASY_100_093,271,810,1248,1328,1223.0,1248.0
GA-MINW_EASY_100_094,543,128,1205,1266,1214.0,1205.0
GA-MINW_EASY_100_095,191,595,774,840,752.0,774.0
GA-MINW_EASY_100_096,249,706,1162,1247,1087.0,1162.0
GA-MINW_EASY_100_097,177,560,712,778,712.0,712.0
GA-MINW_EASY_100_098,468,661,969,1043,1043.0,969.0
GA-MINW_EASY_100_099,385,350,1102,1175,975.0,1102.0
