INSTANCE,DEF,MAXP,MAXPW,MINW,CCA,KNN,LOGREG,MLPC,RF,SVM
GA-DEF_EASY_100_099.kp,777,581,705,705,705,777,705,777,777,777
GA-MAXPW_EASY_100_000.kp,59,336,1173,410,1173,1173,1173,1173,1173,1173
GA-MAXPW_EASY_100_001.kp,180,382,1142,389,1142,1142,1142,1142,1142,1142
GA-MAXPW_EASY_100_002.kp,180,267,1002,264,1002,1002,1002,1002,1002,1002
GA-MAXPW_EASY_100_003.kp,182,351,1146,353,1146,1146,1146,1146,1146,1146
GA-MAXPW_EASY_100_004.kp,215,142,1069,357,1069,1069,1069,1069,1069,1069
GA-MAXPW_EASY_100_005.kp,174,253,1025,278,1025,1025,1025,1025,1025,1025
GA-MAXPW_EASY_100_006.kp,141,254,1060,274,1060,1060,1060,1060,1060,1060
GA-MAXPW_EASY_100_007.kp,332,281,1170,420,1170,1170,1170,1170,1170,1170
GA-MAXPW_EASY_100_008.kp,116,303,1066,310,1066,1066,1066,1066,1066,1066
GA-MAXPW_EASY_100_009.kp,126,128,894,169,894,894,894,894,894,894
GA-MAXPW_EASY_100_010.kp,206,380,1295,522,522,1295,1295,1295,1295,1295
GA-MAXPW_EASY_100_011.kp,164,349,1082,329,329,1082,1082,1082,1082,329
GA-MAXPW_EASY_100_012.kp,307,256,1014,298,1014,1014,1014,1014,1014,1014
GA-MAXPW_EASY_100_013.kp,290,128,1375,662,1375,1375,1375,1375,1375,1375
GA-MAXPW_EASY_100_014.kp,190,212,1110,343,343,1110,1110,1110,1110,1110
GA-MAXPW_EASY_100_015.kp,262,253,1155,353,1155,1155,1155,1155,1155,1155
GA-MAXPW_EASY_100_016.kp,257,498,1352,629,1352,1352,1352,1352,1352,1352
GA-MAXPW_EASY_100_017.kp,136,252,955,270,955,955,955,955,955,955
GA-MAXPW_EASY_100_018.kp,291,128,1097,335,1097,1097,1097,1097,1097,1097
GA-MAXPW_EASY_100_019.kp,268,167,1053,346,1053,1053,1053,1053,1053,1053
