"INSTANCE","LENGTH","SMALL","LARGE","FFIT","BFIT","WFIT","AWFIT","BEST","ORACLE"
"GA-HardBF_20_016.bpp",0.495,0.95,0.05,NA,0.718,0.981,0.981,"AWFIT",0.981
"GA-HardBF_20_017.bpp",0.527,1,0,0.722,NA,0.683,0.719,"FFIT",0.722
"GA-HardBF_20_018.bpp",0.566,1,0,NA,0.781,0.981,0.982,"AWFIT",0.982
"GA-HardBF_20_019.bpp",0.516,1,0,NA,0.729,1,1,"AWFIT",1
"GA-HardBF_20_020.bpp",0.5,1,0,0.939,NA,0.94,0.939,"WFIT",0.94
"GA-HardBF_20_021.bpp",0.489,0.95,0.05,0.724,0.724,0.671,0.724,"BFIT",0.724
"GA-HardBF_20_022.bpp",0.534,0.95,0.05,0.804,0.796,0.796,0.804,"AWFIT",0.804
"GA-HardBF_20_023.bpp",0.602,1,0,0.946,0.758,0.945,0.759,"FFIT",0.946
"GA-HardBF_20_024.bpp",0.498,0.95,0.05,NA,0.782,0.994,0.994,"AWFIT",0.994
"GA-HardFF_20_000.bpp",0.457,1,0,0.76,1,1,0.76,"BFIT",1
"GA-HardFF_20_001.bpp",0.441,1,0,0.728,1,1,NA,"WFIT",1
"GA-HardFF_20_002.bpp",0.5,0.85,0.15,0.76,1,1,0.756,"WFIT",1
"GA-HardFF_20_003.bpp",0.5,0.85,0.15,0.772,NA,1,0.768,"WFIT",1
"GA-HardFF_20_004.bpp",0.425,1,0,0.743,0.992,0.992,0.743,"WFIT",0.992
"GA-HardFF_20_005.bpp",0.4,0.95,0.05,0.704,1,1,NA,"BFIT",1
"GA-HardFF_20_006.bpp",0.516,1,0,0.732,1,1,0.729,"WFIT",1
"GA-HardFF_20_007.bpp",0.394,0.95,0.05,0.713,0.97,NA,0.713,"BFIT",0.97
"GA-HardFF_20_008.bpp",0.5,0.95,0.05,0.772,1,NA,0.77,"BFIT",1
"GA-HardFF_20_009.bpp",0.492,1,0,NA,1,1,0.755,"BFIT",1
"GA-HardFF_20_010.bpp",0.57,1,0,0.729,0.994,0.994,0.729,"BFIT",0.994
"GA-HardFF_20_011.bpp",0.498,0.95,0.05,0.74,0.994,0.994,0.74,"BFIT",0.994
"GA-HardFF_20_012.bpp",0.68,0.85,0.15,0.768,0.943,0.944,0.768,"WFIT",0.944
"GA-HardFF_20_013.bpp",0.5,0.95,0.05,0.728,1,1,0.728,"WFIT",1
"GA-HardFF_20_014.bpp",0.5,0.95,0.05,0.746,1,NA,0.739,"BFIT",1
"GA-HardFF_20_015.bpp",0.5,0.9,0.1,0.725,1,1,0.721,"WFIT",1
"GA-HardFF_20_016.bpp",0.441,1,0,0.717,NA,1,0.717,"WFIT",1
"GA-HardFF_20_017.bpp",0.498,0.9,0.1,0.787,0.994,0.994,0.786,"WFIT",0.994
"GA-HardFF_20_018.bpp",0.5,0.95,0.05,0.795,1,1,0.814,"WFIT",1
"GA-HardFF_20_019.bpp",0.498,0.95,0.05,0.758,0.994,0.994,NA,"BFIT",0.994
"GA-HardFF_20_020.bpp",0.533,1,0,0.722,1,1,0.718,"WFIT",1
"GA-HardFF_20_021.bpp",0.492,0.95,0.05,0.731,0.969,0.97,NA,"WFIT",0.97
"GA-HardFF_20_022.bpp",0.5,0.9,0.1,0.771,1,1,0.771,"BFIT",1
"GA-HardFF_20_023.bpp",0.5,0.95,0.05,0.774,1,1,1,"WFIT",1
"GA-HardFF_20_024.bpp",0.513,1,0,0.777,0.988,NA,0.777,"BFIT",0.988
"GA-HardWF_20_000.bpp",0.441,1,0,1,1,NA,1,"AWFIT",1
"GA-HardWF_20_001.bpp",0.343,1,0,1,1,NA,1,"FFIT",1
"GA-HardWF_20_002.bpp",0.516,1,0,NA,1,0.529,1,"BFIT",1
"GA-HardWF_20_003.bpp",0.5,0.85,0.15,1,1,0.399,1,"AWFIT",1
"GA-HardWF_20_004.bpp",0.5,0.9,0.1,1,1,0.525,1,"BFIT",1
"GA-HardWF_20_005.bpp",0.4,0.85,0.15,1,1,0.454,1,"FFIT",1
"GA-HardWF_20_006.bpp",0.457,1,0,1,1,0.68,1,"FFIT",1
"GA-HardWF_20_007.bpp",0.4,0.9,0.1,1,NA,0.454,1,"AWFIT",1
"GA-HardWF_20_008.bpp",0.5,0.9,0.1,1,NA,0.538,1,"AWFIT",1
"GA-HardWF_20_009.bpp",0.343,1,0,1,1,0.651,1,"BFIT",1
"GA-HardWF_20_010.bpp",0.5,0.95,0.05,1,1,0.532,NA,"BFIT",1
"GA-HardWF_20_011.bpp",0.331,1,0,1,1,0.636,1,"FFIT",1
"GA-HardWF_20_012.bpp",0.413,1,0,1,1,NA,1,"FFIT",1
"GA-HardWF_20_013.bpp",0.436,1,0,1,1,0.67,1,"AWFIT",1
"GA-HardWF_20_014.bpp",0.427,1,0,NA,1,0.455,1,"AWFIT",1
"GA-HardWF_20_015.bpp",0.413,1,0,1,1,0.46,1,"BFIT",1
"GA-HardWF_20_016.bpp",0.4,0.95,0.05,1,1,0.455,1,"FFIT",1
"GA-HardWF_20_017.bpp",0.5,0.85,0.15,1,1,0.535,1,"AWFIT",1
"GA-HardWF_20_018.bpp",0.413,1,0,NA,1,0.456,1,"AWFIT",1
"GA-HardWF_20_019.bpp",0.5,0.8,0.2,1,1,0.396,1,"AWFIT",1
"GA-HardWF_20_020.bpp",0.5,0.95,0.05,1,1,0.397,1,"AWFIT",1
"GA-HardWF_20_021.bpp",0.31,1,0,NA,1,0.623,1,"AWFIT",1
"GA-HardWF_20_022.bpp",0.5,0.9,0.1,1,1,0.523,1,"FFIT",1
"GA-HardWF_20_023.bpp",0.5,0.9,0.1,NA,1,0.528,1,"AWFIT",1
"GA-HardWF_20_024.bpp",0.356,1,0,1,1,0.538,1,"AWFIT",1
